song,song_type,film_name,year,language,lyricist,composer,singer
Title music,Film song,Do Bigha Zameen,1953,Hindi,Not applicable,Salil Chowdhury,Not applicable
hariyaalaa sawan dhol bajataa aayaa,Film song,Do Bigha Zameen,1953,Hindi,Shailendra,Salil Chowdhury,"Lata, Manna Dey & Chorus"
dharti kahe pukarke,Film song,Do Bigha Zameen,1953,Hindi,Shailendra,Salil Chowdhury,"Lata, Manna Dey & Chorus"
ajab tori duniyaa,Film song,Do Bigha Zameen,1953,Hindi,Shailendra,Salil Chowdhury,Md.Rafi & Chorus
aajaa re aa nindiyaa tu aa,Film song,Do Bigha Zameen,1953,Hindi,Shailendra,Salil Chowdhury,"Lata, Manna Dey & Chorus"
"maajhi re, chal naiyaa raam karegaa ",Film song,Biraaj Bahu,1954,Hindi,Prem dhawan,Salil Chowdhury,Nirmalendu Chowdhury
mere man bhoolaa bhoola kaahey dolay ,Film song,Biraaj Bahu,1954,Hindi,Prem dhawan,Salil Chowdhury,Hemant Kumar
teraa ghar abaad rahe ,Film song,Biraaj Bahu,1954,Hindi,Prem dhawan,Salil Chowdhury,"Lata, Shyamal Mitra & Chorus"
jhoom jhoom manmohan re ,Film song,Biraaj Bahu,1954,Hindi,Prem dhawan,Salil Chowdhury,Hemant Kumar
"na jaane re, na jaane re ",Film song,Biraaj Bahu,1954,Hindi,Prem dhawan,Salil Chowdhury,Shamsaad Begum
suno seeta ki kahaani ,Film song,Biraaj Bahu,1954,Hindi,Prem dhawan,Salil Chowdhury,Md.Rafi & Chorus
o namo namo ,Film song,Biraaj Bahu,1954,Hindi,Prem dhawan,Salil Chowdhury,Hemant Kumar
Title music,Film song,Naukri,1954,Hindi,Not applicable,Salil Chowdhury,Not applicable
jhoome re kali bha.nwraa ulajh gayaa,Film song,Naukri,1954,Hindi,Shailendra,Salil Chowdhury,Geeta Dutt
"arzi hamaari, ye marzi hamhaari",Film song,Naukri,1954,Hindi,Shailendra,Salil Chowdhury,Kishore
"o man re, na gham kar, ye aa.nsoo",Film song,Naukri,1954,Hindi,Shailendra,Salil Chowdhury,Lata
chhoTa sa ghar hogaa (fast),Film song,Naukri,1954,Hindi,Shailendra,Salil Chowdhury,Kishore & Shaila Belle
do matwale do dilwale,Film song,Manohar,1954,Hindi,Vishwamitra Adil,Salil Chowdhury,Samshad Begum & Chorus
maharaja jaago ji ,Film song,Manohar,1954,Hindi,Vishwamitra Adil,Salil Chowdhury,Asha Bhonsle
Title music,Film song,Amaanat,1955,Hindi,Not applicable,Salil Chowdhury,Not applicable
chhal chhal paani hamaari zindagaani,Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,"Asha Bhonsle, Manna Dey & Chorus"
"meri wafaaei.n, tumhaari jafaaei.n",Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle
"baa.nki adaayei.n, dekhnaa ji dekhnaa",Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,Geeta Dutt
"o jab se milee.n, to se a.nkhiyaa.n",Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,Geeta Dutt & Hemant
jab tumne mohabaat chheen lee,Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle
Yehaa.n ab kyaa rehnaa.. chal de wahaa.n,Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle & Manna Dey
Jiyaa laagey naa..nisidin nisidin,Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,Lata
Raato.n ke saaye ghaney,Film song,Amaanat,1955,Hindi,Shailendra,Salil Chowdhury,Lata
Dekho Taangaa meraa niraala,Film song,Taangewaali,1955,Hindi,Prem Dhawan,Salil Chowdhury,Md. Rafi
Tere naino.n ne jaadoo Daala,Film song,Taangewaali,1955,Hindi,Prem Dhawan,Salil Chowdhury,Lata & Md. Rafi
Rimjhim jhim jhim badarvaa barse,Film song,Taangewaali,1955,Hindi,Prem Dhawan,Salil Chowdhury,Lata
